gene	DESCRIPTION	hasPeak(An_kdmB_20h_HA_1)	peakType(An_kdmB_20h_HA_1)	hasTesPeak(An_kdmB_20h_HA_1)	tesPeakType(An_kdmB_20h_HA_1)	hasPeak(An_kdmB_20h_HA_2)	peakType(An_kdmB_20h_HA_2)	hasTesPeak(An_kdmB_20h_HA_2)	tesPeakType(An_kdmB_20h_HA_2)	hasPeak(An_kdmB_48h_HA_1)	peakType(An_kdmB_48h_HA_1)	hasTesPeak(An_kdmB_48h_HA_1)	tesPeakType(An_kdmB_48h_HA_1)	hasPeak(An_kdmB_48h_HA_2)	peakType(An_kdmB_48h_HA_2)	hasTesPeak(An_kdmB_48h_HA_2)	tesPeakType(An_kdmB_48h_HA_2)
AN8008	Ortholog of Aspergillus versicolor : Aspve1_0092890 and Aspergillus sydowii : Aspsy1_0059936	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8009	Ortholog of A. fumigatus nmt1 and S. cerevisiae THI13; repressed by starvation-induced autophagy; this locus is reported to contain an upstream open reading frame (uORF)	TRUE	overlapStart	FALSE	NA	TRUE	overlapStart	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN8010	Putative glycogen (starch) synthase with a predicted role in glycogen biosynthesis	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN8011	Protein of unknown function	FALSE	NA	TRUE	insideOverlapEnd	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8012	Putative bifunctional enzyme with a predicted role in sterol metabolism	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8013	Ortholog(s) have role in positive regulation of mitotic metaphase/anaphase transition and anaphase-promoting complex localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8014	Has domain(s) with predicted ATP binding, DNA binding, DNA ligase (ATP) activity and role in DNA recombination, DNA repair	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8015	Ortholog(s) have U2 snRNP localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8016	Putative ATP-dependent RNA helicase; expression reduced after exposure to farnesol	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8017	Ortholog of A. fumigatus Af293 : Afu5g02400, A. niger CBS 513.88 : An02g10400, A. oryzae RIB40 : AO090102000352, Aspergillus wentii : Aspwe1_0052944 and Aspergillus sydowii : Aspsy1_0059906	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN11938	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8018	Transcript induced by light in in developmentally competent mycelia	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8019	Has domain(s) with predicted catalytic activity and role in nucleoside metabolic process	TRUE	overlapStart	FALSE	NA	TRUE	pseudo_upstream	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8020	Putative protein of unknown function; expression upregulated after exposure to farnesol	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8021	Putative vacuolar ATPase (V-ATPase), subunit A; required for normal growth and conidiation; mutation confers resistance to concanamycin; mutant fails to grow at alkaline pH; protein induced by farnesol	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8022	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8023	Protein required for vacuole biogenesis	FALSE	NA	TRUE	overlapEnd	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapEnd	FALSE	NA	FALSE	NA
AN8024	Has domain(s) with predicted hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds activity and role in nitrogen compound metabolic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8025	Ortholog of A. fumigatus Af293 : Afu1g01450, A. niger CBS 513.88 : An11g08050, An05g01890, An11g03950, A. oryzae RIB40 : AO090010000064, AO090701000602 and Aspergillus wentii : Aspwe1_0051796	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8026	Ortholog of A. nidulans FGSC A4 : AN1101, AN0010, A. fumigatus Af293 : Afu3g00120, Afu5g09120 and A. niger CBS 513.88 : An12g05610, An07g03970	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8027	Protein of unknown function; transcript is induced by nitrate	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8028	Has domain(s) with predicted catalytic activity	FALSE	NA	TRUE	pseudo_overlapEnd	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8029	Putative plasma membrane high affinity K+ transporter	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA
AN8030	Has domain(s) with predicted NAD binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor activity and role in oxidation-reduction process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8031	Ortholog of A. fumigatus Af293 : Afu5g02250, A. niger CBS 513.88 : An02g10580, A. oryzae RIB40 : AO090102000288, Aspergillus wentii : Aspwe1_0042830 and Aspergillus sydowii : Aspsy1_0156829	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN8032	Putative C-3 sterol dehydrogenase; expression upregulated after exposure to farnesol	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11045	Ortholog(s) have (R)-2-hydroxyglutarate dehydrogenase activity, D-lactate dehydrogenase (cytochrome) activity, FAD binding, actin binding activity and role in lactate catabolic process	TRUE	overlapStart	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11032	Protein kinase; mutants are sensitive to NaCl, have a strong growth defect and display defects in septation and conidiation	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8034	Ortholog of A. fumigatus Af293 : Afu5g02210, A. niger CBS 513.88 : An02g10730, A. oryzae RIB40 : AO090102000294, Aspergillus wentii : Aspwe1_0114775 and Aspergillus sydowii : Aspsy1_0033693	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN8035	Putative transcription factor; hsf1 mRNA expression increased in the presence of farnesol	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8036	Ortholog of A. fumigatus Af293 : Afu5g01910, A. niger CBS 513.88 : An16g01770, A. oryzae RIB40 : AO090003001328, Aspergillus wentii : Aspwe1_0042781 and Aspergillus sydowii : Aspsy1_0047861	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN8037	Protein of unknown function	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8038	Has domain(s) with predicted nucleic acid binding, nucleotide binding activity	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8039	Histone variant H2A.Z	TRUE	pseudo_upstream	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	pseudo_upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN8040	Ortholog(s) have role in protein maturation, protein targeting to ER and endoplasmic reticulum, plasma membrane localization	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN8041	Glyceraldehyde-3-phosphate dehydrogenase with a predicted role in gluconeogenesis and glycolysis; the gpdA promoter is a commonly used regulatory sequence for driving constitutive heterologous gene expression	TRUE	overlapStart	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8042	Histone deacetylase; null mutant produces higher amounts of penicillin than wild-type	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8043	Protein of unknown function	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8044	Ortholog(s) have metalloendopeptidase activity	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8045	Has domain(s) with predicted mRNA binding activity, role in mRNA polyadenylation and mRNA cleavage factor complex localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapEnd	FALSE	NA	FALSE	NA
AN8046	Putative triacylglycerol lipase with a predicted role in glycerolipid metabolism	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN11033	Ortholog of A. fumigatus Af293 : Afu5g02050, A. niger CBS 513.88 : An16g01890, A. oryzae RIB40 : AO090003001318, Aspergillus wentii : Aspwe1_0116157 and Aspergillus sydowii : Aspsy1_0207101	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11040	Ortholog(s) have role in coenzyme A biosynthetic process and CoA-synthesizing protein complex, lipid droplet localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8048	Ortholog of A. fumigatus Af293 : Afu5g02070, A. niger CBS 513.88 : An02g11210, A. oryzae RIB40 : AO090003001314, Aspergillus wentii : Aspwe1_0174218 and Aspergillus sydowii : Aspsy1_0155996	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8049	Ortholog of A. fumigatus Af293 : Afu5g02080, A. oryzae RIB40 : AO090003001313, Aspergillus wentii : Aspwe1_0137187, Aspergillus sydowii : Aspsy1_0156853 and Aspergillus terreus NIH2624 : ATET_09826	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8050	Ortholog of A. fumigatus Af293 : Afu5g02090, A. niger CBS 513.88 : An02g11190, A. oryzae RIB40 : AO090003001312, Neosartorya fischeri NRRL 181 : NFIA_040030 and Aspergillus wentii : Aspwe1_0061053	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11039	Has domain(s) with predicted carbon-sulfur lyase activity and role in metabolic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN8051	Ortholog of A. fumigatus Af293 : Afu5g02120, A. niger CBS 513.88 : An02g11160, A. oryzae RIB40 : AO090003001306, Aspergillus wentii : Aspwe1_0029924 and Aspergillus sydowii : Aspsy1_0156226	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN8052	Ortholog of Aspergillus versicolor : Aspve1_0312185 and Aspergillus sydowii : Aspsy1_0059874	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8053	Has domain(s) with predicted role in phosphatidylinositol dephosphorylation	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11041	Has domain(s) with predicted zinc ion binding activity	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8054	Predicted alpha 4 subunit of the 20S core proteasome; involved in N-myristoylation and cell morphogenesis; menadione stress-induced protein	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8055	Has domain(s) with predicted exonuclease activity, nucleic acid binding, nucleotide binding, zinc ion binding activity and intracellular localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8056	Ortholog(s) have ATPase activity, DNA/DNA annealing activity, double-stranded DNA binding, single-stranded DNA binding activity, role in mitotic chromosome condensation and cytoplasm, nuclear condensin complex localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8057	Cysteine synthase; plays a role in amino acid metabolism	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8058	Has domain(s) with predicted electron transfer activity, metal ion binding, molybdenum ion binding activity and role in nitrate assimilation, oxidation-reduction process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8059	Ortholog(s) have mitochondrion targeting sequence binding, protein transmembrane transporter activity and role in protein import into mitochondrial inner membrane	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8060	Has domain(s) with predicted NAD binding, oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor activity and role in cellular amino acid metabolic process, oxidation-reduction process	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN8061	Putative peptidyl-prolyl cis-trans isomerase (PPIase)	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8062	Has domain(s) with predicted outer membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8063	Putative acid phosphatase; transcript repressed by light in developmentally competent mycelia	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11940	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8064	Ortholog(s) have ATPase activity, DNA clamp loader activity and role in UV-damage excision repair, leading strand elongation, sister chromatid cohesion	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8065	Ortholog(s) have role in Arp2/3 complex-mediated actin nucleation, actin cortical patch localization, cellular response to drug, endocytosis and establishment of mitochondrion localization, more	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8066	Ortholog(s) have tRNA (adenine-N1-)-methyltransferase activity, role in tRNA methylation and nucleus, tRNA (m1A) methyltransferase complex localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN8067	Has domain(s) with predicted Lys48-specific deubiquitinase activity, thiol-dependent ubiquitin-specific protease activity	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN8068	Putative beta-1,4-endoglucanase	TRUE	inside	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8069	Has domain(s) with predicted membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN8070	Acetylglucosaminyltransferase; involved in glycosylphosphatidylinositol (GPI) anchor synthesis; mutants abundantly secrete a 33-kDa alkaline serine protease into liquid medium	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8071	Predicted scaffold protein with similarity to mammalian striatin; required for normal sexual development and conidiation	TRUE	inside	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8072	Ortholog of A. fumigatus Af293 : Afu5g01770, A. oryzae RIB40 : AO090003001347, Aspergillus wentii : Aspwe1_0029886, Aspergillus sydowii : Aspsy1_0156406 and Aspergillus terreus NIH2624 : ATET_09794	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8073	Has domain(s) with predicted RNA binding, S-adenosylmethionine-dependent methyltransferase activity, methyltransferase activity and role in rRNA processing	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8074	Has domain(s) with predicted thiol-dependent ubiquitinyl hydrolase activity, zinc ion binding activity and role in protein deubiquitination, ubiquitin-dependent protein catabolic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN8075	Putative deoxyhypusine synthase with a predicted role in arginine metabolism	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	TRUE	overlapEnd	TRUE	inside	FALSE	NA
AN8076	Predicted DNA binding protein; locus contains the conserved upstream open reading frame (uORF) AN8076-uORF	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	pseudo_upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN8077	Has domain(s) with predicted role in transmembrane transport and integral component of membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8078	Phenylacetate 2-hydroxylase; cytochrome P450 monooxygenase involved in phenylacetate utilization; transcript is induced by phenylacetate	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA
AN8079	Has domain(s) with predicted DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, protein kinase regulator activity, zinc ion binding activity	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN8080	Ortholog(s) have thioredoxin peroxidase activity, role in cell redox homeostasis, cellular response to oxidative stress, response to metal ion and hyphal cell wall, peroxisome, yeast-form cell wall localization	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8081	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11046	Protein of unknown function; transcript is induced by nitrate	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN11034	Has domain(s) with predicted catalytic activity and role in metabolic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11047	Ortholog of Aspergillus versicolor : Aspve1_0874946 and Aspergillus sydowii : Aspsy1_0091813	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8083	Has domain(s) with predicted role in transmembrane transport and integral component of membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8084	Has domain(s) with predicted transmembrane transporter activity, role in transmembrane transport and integral component of membrane, membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN8085	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN8086	Putative protein of unknown function; expression upregulated after exposure to farnesol	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN8088	Ortholog of A. nidulans FGSC A4 : AN3502, A. fumigatus Af293 : Afu1g06540, A. niger CBS 513.88 : An18g05600, An14g06940 and Aspergillus wentii : Aspwe1_0067036	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN8089	Has domain(s) with predicted role in transmembrane transport and integral component of membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8090	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8091	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8092	Ortholog of Aspergillus versicolor : Aspve1_0034535, Aspergillus sydowii : Aspsy1_0038908, Aspsy1_0527520 and Aspergillus terreus NIH2624 : ATET_08397	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8093	Ortholog of A. nidulans FGSC A4 : AN12197, A. fumigatus Af293 : Afu4g13910, Afu5g12760, A. niger CBS 513.88 : An15g06460, An13g02370 and A. oryzae RIB40 : AO090012000187	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8094	Protein of unknown function	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8095	Has domain(s) with predicted role in transmembrane transport and integral component of membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11035	Has domain(s) with predicted FAD binding, oxidoreductase activity and role in metabolic process	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11043	Has domain(s) with predicted N-acetyltransferase activity	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN11044	Predicted DDE1 transposon-related ORF	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN11036	Ortholog of A. fumigatus Af293 : Afu1g02450, Afu4g04140, A. niger CBS 513.88 : An03g00240 and A. oryzae RIB40 : AO090003000331, AO090023000392	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11051	Putative GH 75 family chitosanase	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11048	Predicted glycosylphosphatidylinositol (GPI)-anchored protein	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8098	Protein of unknown function	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA
AN8099	Putative oxalate decarboxylase with a predicted role in oxalic acid metabolism	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN8100	Has domain(s) with predicted solute:proton antiporter activity, role in cation transport, transmembrane transport and integral component of membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8101	Ortholog of A. fumigatus Af293 : Afu5g02655, A. oryzae RIB40 : AO090102000386, Aspergillus wentii : Aspwe1_0029985, Aspergillus versicolor : Aspve1_0057042 and Aspergillus sydowii : Aspsy1_0082028	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8102	Putative pepsin-like aspartic protease; predicted glycosyl phosphatidylinositol (GPI)-anchor	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	TRUE	upstream	FALSE	NA	FALSE	NA	FALSE	NA
AN8103	Putative transcription factor; predicted role in secondary metabolite production	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8104	Has domain(s) with predicted role in response to stress and integral component of membrane localization	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8105	Putative nonribosomal peptide synthase (NRPS)-like enzyme; predicted secondary metabolism gene cluster member	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8106	Predicted dioxygenase; role in secondary metabolite biosynthesis; predicted secondary metabolism gene cluster member	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11037	Predicted transmembrane transporter; predicted secondary metabolism gene cluster member	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11049	NmrA-like domain containing protein; predicted secondary metabolism gene cluster member	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	TRUE	overlapStart	FALSE	NA	FALSE	NA	FALSE	NA
AN8108	Predicted fumarylacetoacetase; predicted secondary metabolism gene cluster member	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11941	Putative L-iditol 2-dehydrogenase with a predicted role in mannose/mannitol, fructose, and sorbose/sorbitol metabolism	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN11942	Ortholog(s) have ATPase activity	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
AN8110	Putative short-chain dehydrogenase/reductase family protein; predicted secondary metabolism gene cluster member	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
